,id,conversation_id,lang,text,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
0,2036944806317088921,2036944806317088921,en,"New on the Engineering Blog: How we designed Claude Code auto mode.

Many Claude Code users let Claude work without permission prompts. Auto mode is a safer middle ground: we built and tested classifiers that make approval decisions instead.

Read more: https://t.co/dpcMcWMf5k",['2036944806317088921'],2026-03-25T23:14:21.000Z,171,112,1300,41,709,83509,,AnthropicAI
1,2036499693920727463,2036499691571953848,en,"We find that since November 2025, consumer use has become less concentrated: the top 10 tasks now make up 19% of conversations, down from 24%. We also see a rise in personal queries, and continued convergence in adoption rates in the US.

Read more: https://t.co/9UUq3UsnLi",['2036499693920727463'],2026-03-24T17:45:38.000Z,18,21,195,8,55,46274,1353836358901501952,AnthropicAI
2,2036499691571953848,2036499691571953848,en,"New from the Anthropic Economic Index: how people’s use of Claude changes with experience.

Longer-term users are more likely to iterate carefully with Claude, and less likely to hand it full autonomy. They attempt higher-value tasks, and receive more successful responses. https://t.co/yCsrA0bLt9",['2036499691571953848'],2026-03-24T17:45:37.000Z,239,176,2445,61,820,203648,,AnthropicAI
3,2036481033621623056,2036481033621623056,en,"New on the Anthropic Engineering Blog: 

How we use a multi-agent harness to push Claude further in frontend design and long-running autonomous software engineering.

Read more: https://t.co/HWvmXk1ykn",['2036481033621623056'],2026-03-24T16:31:29.000Z,793,241,5894,163,8002,1260878,,AnthropicAI
4,2036179045143158925,2036179042081317370,en,"Models keep improving on long-horizon tasks, but splitting work across many agents doesn’t suit every problem. 

We walk through the setup for a single agent working sequentially on a task where mistakes compound: modeling the early universe. 

Read more:
https://t.co/7rrQY2vp9H",['2036179045143158925'],2026-03-23T20:31:29.000Z,31,26,383,6,120,56346,1353836358901501952,AnthropicAI
5,2036179043377418553,2036179042081317370,en,"We’re launching with two new posts.

Can AI do theoretical physics? 

Harvard physicist Matthew Schwartz led Claude Opus 4.5 through a graduate-level calculation. AI can’t yet do original work autonomously, but it can vastly accelerate it. 

Read more: https://t.co/UUfFuLqhb7",['2036179043377418553'],2026-03-23T20:31:28.000Z,163,48,1125,50,555,570804,1353836358901501952,AnthropicAI
6,2036179042081317370,2036179042081317370,en,"Introducing the Anthropic Science Blog.

Increasing the pace of scientific progress is a core part of Anthropic’s mission. The Science Blog will feature new research and stories of how scientists are using AI to accelerate their work.

Read the intro: https://t.co/1P9BDyX3xG",['2036179042081317370'],2026-03-23T20:31:28.000Z,648,189,5080,88,1946,364916,,AnthropicAI
7,2034302168879267871,2034302152945144166,en,"Thank you to the 80,508 people who took the time to speak with us. It has been striking, and humbling, to see how AI figures in so many people’s hopes, fears, and dreams.

Read the full post here: https://t.co/tmp2RnZxRm",['2034302168879267871'],2026-03-18T16:13:27.000Z,15,120,266,8,45,60947,1353836358901501952,AnthropicAI
8,2034302167612616704,2034302152945144166,en,"These interviews capture texture that surveys can’t. They render in detail how people worldwide are already experiencing AI's opportunities and risks.

We plan to use Anthropic Interviewer regularly, on different topics, to help inform how AI can be built to benefit everyone.",['2034302167612616704'],2026-03-18T16:13:26.000Z,4,31,220,1,11,65133,1353836358901501952,AnthropicAI
9,2034302165913862443,2034302152945144166,en,"Globally, 67% of people view AI positively, but optimism runs higher in South America, Africa, and Asia than in Europe or the United States. https://t.co/3QkawqnJY0",['2034302165913862443'],2026-03-18T16:13:26.000Z,14,43,269,45,43,146773,1353836358901501952,AnthropicAI
10,2034302163720294690,2034302152945144166,en,"What people wanted and feared from AI appeared tightly bound. Those who benefited the most from AI in a given area were also the most likely to fear what it could cost them.

But while mentions of benefits tend to be grounded in experience, fears were more often anticipatory. https://t.co/EZIA1Q9kMN",['2034302163720294690'],2026-03-18T16:13:25.000Z,7,22,184,3,17,25854,1353836358901501952,AnthropicAI
11,2034302161514082462,2034302152945144166,en,"Hopes clustered around a few basic desires, but concerns about AI were more varied. Most common were AI unreliability, jobs and the economy, and maintaining human autonomy and agency. 

Notably, economic concern was the strongest predictor of overall AI sentiment. https://t.co/UGmP67a5j6",['2034302161514082462'],2026-03-18T16:13:25.000Z,3,24,177,3,14,27925,1353836358901501952,AnthropicAI
12,2034302159303721097,2034302152945144166,en,"When Claude asked whether AI had taken a step towards fulfilling the vision they described, 81% of people said yes. https://t.co/nBicy2wBPc",['2034302159303721097'],2026-03-18T16:13:24.000Z,2,15,199,3,18,32883,1353836358901501952,AnthropicAI
